label,prediction
0,0.008607121
1,0.3941494
0,0.05263087
0,0.219956
1,0.9676375
0,0.00018519184
1,0.61168027
1,0.8722441
0,0.048782647
0,0.292933
0,0.0007269217
0,0.31316993
0,0.031678617
0,0.00026068406
0,0.2509508
1,0.9327522
0,0.017006269
0,0.0056609013
1,0.12336544
1,0.9472315
0,0.00037305904
1,0.8917259
0,1.4485812e-05
0,0.36733404
0,0.0545897
1,0.91710126
0,0.020332506
0,0.44548845
1,0.92838776
0,0.008060287
0,0.0001586928
0,1.5909878e-05
0,0.0007852363
1,0.9892322
0,0.004894829
0,0.0018854613
0,0.05430572
0,0.0044342303
0,0.110694125
1,0.9853919
1,0.4721687
0,0.08986025
0,0.018952215
0,0.10577025
0,0.100540586
0,0.019003563
1,0.8907903
0,0.01719168
0,0.46212858
0,0.005072605
1,0.7001654
0,0.06296842
1,0.9620347
1,0.05208353
1,0.9830398
0,0.19918245
0,1.9728426e-05
1,0.75737935
0,0.04056543
1,0.6719638
0,0.31584564
0,0.05402313
0,0.016417164
1,0.70305234
0,0.33945754
0,0.04840015
1,0.31524998
1,0.9949274
0,0.013722475
0,0.059020657
0,0.7117575
0,0.00016769079
0,0.14072892
0,0.00037719592
0,0.94569427
0,0.12577148
0,0.68623656
0,0.35943866
1,0.45714095
0,0.45111597
1,0.9075118
1,0.37473553
0,0.3952201
0,0.04078065
0,0.009733401
0,0.010057632
0,0.01140259
0,0.16345575
1,0.8734684
0,0.08929793
0,0.047145586
1,0.6316238
0,0.34403312
0,0.10537962
0,0.048020482
0,0.069621265
0,3.368656e-05
0,0.42726037
0,0.39028683
0,0.037564415
1,0.85264117
1,0.9160468
0,0.053322718
1,0.98911405
0,0.13547687
1,0.9026556
0,0.0018042148
0,0.7693345
0,0.022107253
1,0.8604343
0,0.00082063396
0,0.8519468
1,0.97710425
0,0.25933656
1,0.5994941
0,0.00094706396
1,0.92671984
1,0.9479165
1,0.9330111
0,0.01016807
0,0.006672837
0,0.1678391
0,0.1345107
1,0.9546785
0,0.049168024
0,0.26790228
0,0.25722316
0,0.021230351
0,0.8290566
1,0.997776
0,0.042880543
0,0.89370686
0,0.15514669
0,0.07234916
0,1.3409268e-05
0,0.093301624
0,0.005403011
0,0.16289087
1,0.72583145
0,0.06224009
1,0.99178386
0,0.00048341637
0,0.1848534
0,0.010449438
1,0.4153256
0,0.20361821
1,0.65378517
0,0.07555969
1,0.17809439
0,0.062159643
0,0.04067291
1,0.2621275
0,0.019897632
1,0.34387755
0,0.0846985
0,0.001340076
0,0.006231017
1,0.39151806
1,0.5902721
0,0.05706062
0,0.5536598
0,0.18381672
0,0.137754
0,0.012995611
1,0.9906318
0,0.039926257
1,0.8056126
0,0.005802351
1,0.9796125
0,0.123067476
0,0.021693714
1,0.59999067
1,0.7509883
0,0.0023369442
0,0.37983826
0,0.028847728
1,0.99382
1,0.44697925
0,0.034684908
0,0.0021636433
0,0.17133462
1,0.86191803
0,0.10590076
0,0.00047287202
0,0.18946859
1,0.9591113
1,0.82331425
1,0.49764603
0,0.2816399
0,0.6144608
0,0.00013449334
1,0.16232754
0,0.12945579
1,0.8666091
0,0.000119784396
0,0.22268902
0,0.05841094
0,0.0013327141
0,0.016195964
1,0.97966754
0,0.26373094
1,0.9930663
0,0.82807726
0,0.17588483
0,0.001563537
0,0.1873599
0,0.31316993
0,0.0641172
1,0.75163245
0,0.013031034
1,0.99550456
0,0.6802679
0,0.002081864
0,0.02295757
0,0.0027868303
0,0.028540257
0,0.47861698
0,0.032276217
0,0.057882298
1,0.74540275
0,0.61853623
0,0.013390556
0,0.009317139
0,0.18052953
1,0.93637747
1,0.8126401
0,0.08762998
0,0.07469734
0,0.011717711
0,0.1060314
0,0.020609016
1,0.9160468
0,0.15263292
1,0.7825182
1,0.8229127
1,0.9647567
0,0.17369688
0,0.011878487
0,0.11652549
1,0.70578
0,0.056323174
0,0.026617916
0,0.07479271
0,0.001563537
1,0.97029006
0,0.00049147866
0,0.30991644
0,0.05773208
1,0.6290532
1,0.7859019
1,0.9739479
0,0.102426715
0,0.0067279045
0,0.29164934
1,0.9906573
0,0.006163075
0,0.004894829
0,0.016239969
1,0.5060544
0,0.003844065
0,0.00094185973
0,0.7370715
1,0.94639814
0,0.014888547
1,0.8638758
0,0.034135092
1,0.12471393
0,0.0104209585
0,0.13644888
1,0.8517727
1,0.97517824
1,0.9233739
0,0.43254116
0,0.011878487
0,0.06545398
0,0.03847219
0,0.00021730975
0,0.014024322
1,0.81158805
0,0.008583618
0,0.027122717
1,0.92258966
0,0.004325988
1,0.987626
0,0.041873287
0,0.08840483
0,1.929791e-05
1,0.7788587
0,0.47949886
1,0.98389167
0,0.2534214
1,0.99173886
1,0.9982254
0,0.00035304544
0,0.035905596
0,0.12546852
0,0.015092163
1,0.9950375
0,0.035431284
0,1.6264798e-05
0,0.30756202
0,0.4082279
0,0.08986025
0,0.22604875
1,0.9616296
1,0.88984764
0,0.24022147
0,0.000186216
1,0.44374326
0,0.0710641
0,0.4953945
1,0.99733317
0,0.3883197
1,0.2711603
0,0.10721361
1,0.9501832
0,0.009368193
0,0.016108308
1,0.30976897
1,0.12729557
0,0.03440894
0,0.00034725328
0,2.289661e-05
0,0.26912114
0,0.011126147
0,0.2093799
0,0.04391093
0,0.0047885226
1,0.8737729
0,0.0015379157
0,0.0066545806
0,0.12041362
1,0.8797324
0,0.012750295
0,0.039089024
1,0.63146335
0,0.0020142263
0,0.057957545
0,0.00031099303
0,0.073467664
0,0.38301054
0,0.010885994
1,0.98653644
1,0.5497802
0,0.0021636433
0,0.31838396
0,0.18196201
0,0.029630518
1,0.31450623
0,0.12806353
0,0.18652153
0,0.0915664
0,0.100540586
0,6.044706e-05
0,0.014608023
0,0.016152078
0,0.11581758
0,0.113161385
1,0.97622436
0,0.005114535
0,0.07450693
0,0.0065103057
0,0.049947456
0,0.39629182
0,0.01000286
1,0.48250034
1,0.9808934
0,0.12321638
0,0.60040426
0,0.03552566
0,0.015298515
0,0.01785638
0,0.9268134
1,0.91192806
0,0.05646994
0,0.012206603
0,0.93179446
1,0.7779072
0,0.010564126
0,0.015133215
1,0.95057344
1,0.8808947
0,0.0028803372
1,0.9524813
1,0.8876663
0,0.010535338
1,0.03816728
0,0.002455595
0,0.060258016
1,0.26279482
1,0.96428484
1,0.99139285
0,0.0035398903
1,0.78648144
0,0.08123662
0,0.060649656
0,0.044143084
0,0.034135092
1,0.86191803
1,0.91346633
0,0.0038652448
0,0.013102167
0,0.20440201
0,0.0009012372
0,0.0040167966
1,0.09122285
0,0.4956638
0,0.00371939
0,0.060024176
1,0.44680887
0,0.017379077
1,0.71443766
1,0.8746827
0,0.90008116
0,0.021173121
1,0.98436546
0,0.42650127
0,0.19503608
0,0.004532705
0,0.0035398903
1,0.9881215
1,0.6234857
0,0.013245587
1,0.984743
0,0.0029121947
0,0.06613204
0,0.381952
0,0.048654836
0,0.039610304
0,0.23127785
